"offer_id","villager_id","selling_item_id","amount_of_selling_items","buying_item_id","amount_of_buying_items","needed_reputation_level"
"1","1","1","1","2","15","1"
"2","1","3","1","1","5","1"
"3","1","4","1","1","9","1"
"4","1","5","1","1","7","1"
"5","1","6","1","1","4","1"
"6","1","1","1","7","4","2"
"7","1","8","1","1","36","2"
"8","1","9","1","1","3","2"
"9","1","10","1","1","1","2"
"10","1","1","1","11","1","3"
"11","1","1","1","12","1","3"
"12","1","13","1","1","1","3"
"13","1","14","1","1","4","3"
"14","1","15","1","1","5","3"
"15","1","16","1","1","19","4"
"16","1","17","1","1","13","4"
"17","1","18","1","1","13","5"
"18","1","19","1","1","21","5"
"19","8","1","1","2","15","1"
"20","8","3","1","1","5","1"
"21","8","4","1","1","9","1"
"22","8","5","1","1","7","1"
"23","8","6","1","1","4","1"
"24","8","1","1","7","4","2"
"25","8","8","1","1","36","2"
"26","8","9","1","1","3","2"
"27","8","10","1","1","1","2"
"28","8","1","1","11","1","3"
"29","8","1","1","12","1","3"
"30","8","13","1","1","1","3"
"31","8","14","1","1","4","3"
"32","8","15","1","1","5","3"
"33","8","16","1","1","19","4"
"34","8","17","1","1","13","4"
"35","8","18","1","1","13","5"
"36","8","19","1","1","21","5"
"37","2","1","1","20","13","1"
"38","2","1","1","21","7","1"
"39","2","1","1","22","4","1"
"40","2","23","1","1","1","1"
"41","2","1","1","2","15","2"
"42","2","24","5","1","1","2"
"43","2","25","8","1","1","2"
"44","2","1","1","26","7","3"
"45","2","1","1","27","10","3"
"46","2","1","1","28","10","4"
"47","2","1","1","29","10","5"
"48","9","1","1","20","13","1"
"49","9","1","1","21","7","1"
"50","9","1","1","22","4","1"
"51","9","23","1","1","1","1"
"52","9","1","1","2","15","2"
"53","9","24","5","1","1","2"
"54","9","25","8","1","1","2"
"55","9","1","1","26","7","3"
"56","9","1","1","27","10","3"
"57","9","1","1","28","10","4"
"58","9","1","1","29","10","5"
"59","3","1","1","30","32","1"
"60","3","31","2","1","1","1"
"61","3","1","1","32","3","2"
"62","3","33","1","1","1","2"
"63","3","1","1","34","2","3"
"64","3","35","1","1","4","3"
"65","3","1","1","36","4","4"
"66","3","1","1","37","9","4"
"67","3","38","1","1","5","4"
"68","3","1","1","39","22","5"
"69","3","40","1","1","3","5"
"70","10","1","1","30","32","1"
"71","10","31","2","1","1","1"
"72","10","1","1","32","3","2"
"73","10","33","1","1","1","2"
"74","10","1","1","34","2","3"
"75","10","35","1","1","4","3"
"76","10","1","1","36","4","4"
"77","10","1","1","37","9","4"
"78","10","38","1","1","5","4"
"79","10","1","1","39","22","5"
"80","10","40","1","1","3","5"
"81","4","1","1","41","20","1"
"82","4","1","1","42","26","1"
"83","4","1","1","43","22","1"
